,Max virus (increase),Max Virus (decrease),Max dead cells (increase),Max dead cells (decrease),Min tissue (increase),Min tissue (decrease),Max inflam. macs (increase),Max inflam. macs (decrease),Max T cells (increase),Max T cells (decrease),Max IL-6 (increase),Max IL-6 (decreased),Max IFN I (increased),Max IFN I (decreased),IFN I exposure (increase),IFN I exposure (decrease)
p_F_M,-5.75E-06,5.75E-06,-6.56E-06,6.56E-06,6.96E-06,-6.96E-06,-3.68E-06,3.68E-06,-2.65E-06,2.65E-06,-3.41E-06,3.41E-06,4.21E-05,-4.21E-05,0.000188803,-0.000188803
eta_F_M,5.47E-06,-6.05E-06,6.24E-06,-6.90E-06,-6.62E-06,7.32E-06,3.51E-06,-3.87E-06,2.52E-06,-2.79E-06,3.24E-06,-3.58E-06,-4.00E-05,4.42E-05,-0.000179683,0.000198582
k_lin_F,0.005995838,-0.006378899,0.00700151,-0.007423263,-0.007351267,0.007819616,0.00378482,-0.004039794,0.003600619,-0.003784682,0.003498846,-0.003738478,-0.046764898,0.051615401,-0.0452207,0.049635222
k_int_F,0.004330997,-0.004529683,0.005045627,-0.005263902,-0.00532885,0.005573347,0.002725763,-0.002855944,0.002547915,-0.00263692,0.00252027,-0.002643817,0.000606779,-0.000638765,0.001847955,-0.001781736
k_B_F,-0.006318591,0.006537748,-0.007367961,0.007648271,0.007689156,-0.007963716,-0.00402595,0.004148762,-0.003837004,0.004005371,-0.003725024,0.003834653,-0.000938621,0.000960882,-0.002777601,0.002671154
k_U_F,0.001571125,-0.001596665,0.001828605,-0.00185651,-0.001932933,0.001964223,0.000989853,-0.001005894,0.000921051,-0.000932415,0.000915319,-0.000931401,0.000231603,-0.000235841,0.000685974,-0.00070863
R_F_T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_F_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM_F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K0,-0.00251857,0.002572801,-0.004241023,0.004326671,0.002252081,-0.00231156,-0.001936122,0.001979285,-0.003255057,0.003312863,-0.001789668,0.001826871,-0.000391982,0.000399286,-0.001456052,0.001438496
